RD_ID,RD_MESSAGE,RD_SCORE,RD_VISIT_DATE
3147113,"Lovely golden sand, clear water,,,,a nice stroll with our dog in the evening...alot of businessees close by are closed unfortunately, but we hoping this will change soon",5, June 2020
3147115,Well today was a nice day for a change and as the rain had stopped I decided to go down to Karon beach .It was nice to see the beach in its natural glory.As currently you can not enter the beach,5, January 2018
3147116,"One of the longest and widest beach on these parts, gentle sloping and usually crowded during Peak season as there's quite a line 4 to 5 stars hotels lining the beach. Though being a long beach, there's usually room for all. Low season this beach sees the largest waves, thus attracting some surfers. There used to be a surf competition every August. Swimmers might want to take note this is quite a dangerous beach during low season and usually there's a warning red flag. Great for walks or simply chill on the beach",4, March 2020
3147122,March good time to go as seawater not too rough.Water is beautiful & warm.100baht for bed & umbrella well needed in 32-36 temp.Drinks available on beach.,5, March 2020
3147123,The big question when you visit Phuket is... Patong beach or Karon beach? Personally I prefered Karon - it has such a lovely long stretch of sand with palm trees across it and is generally quieter. Sunbeds are 200 baht for a day (including 2 adjacent sunbeds with an umbrella).,5, March 2020
3147125,i love this beach... its so wide...its good for jogging..more than 3kilometer long. and water is good also,5, March 2020
3147127,"Excellent beach, very quiet and plenty of space between visitors.The sand is very soft and the water is very clean",5, March 2020
3147135,"visit almost south end of the beach, they had little bar an sunbeds for rent there. great service at bar. Too hot to stay more than two ours",4, March 2020
3147136,u can see this beach while visiting Karon viewpoint. good one. clean and well maintained. i visited in during the sun set time.,4, June 2019
3147137,Very beautiful resort. Located on beach near a cove. You can snorkel right off the beach. The restaurant have great food with different varieties. The pool area has options for couples only or with kids with slides and lazy river. I had ordered a private dinner on the beach right at sunset. It was an amazing experience. Our server Dear made it even more pleasant and memorable. We had a blast at this hotel. We definitely will be back. Thank you much!,5, March 2020
3147139,"Would recommend Karon Beach instead of Patong Beach if you enjoy the beach and not the bars.Even though it's a lot quieter you can still sit at our bar, listen to a band and have a few drinks.",4, March 2020
3147140,"A long beach with not a lot of shade, except back from the sand itself, it is a very pleasant place. Lots of restaurants, bars and shopping nearby, easy to get a taxi, tuk tuk or local bus service (try it!) to Patong or Phuket city from here. When we were here in January 2020 it was packed with Chinese, but mainly Russian tourists. No doubt that has all changed with corona virus. I'm sure there will be many bargains to get tourists back when this finally blows over. It is just such a tragedy that the locals here were only just getting over the 2004 tsunami to be only hit by something almost as devastating all these years later.",4, January 2020
3147143,"You can rent beach chairs which come with an umbrella. Beautiful views, warm blue ocean. Just be prepared for very hot sand froom noon to mid-afternoon. Jetski packages available at the beach",5, March 2020
3147144,"Prefer Karon than patong on the crowds, noise and night life. Morning was nice stroll family friendly and safe. Afternoon gets busy with people sunbath and volleyball plus other water activities. There are shops and restaurants alongside the beach for quick bite and drinks for those who wants to cool down the heat.",5, December 2019
3147145,"This beach is beautiful, clean and safe. When it is not they will fly flags. Also not constantly annoyed by beach sellers, they come show what they have to sell but don't bother you",5, March 2020
3147151,Lots of activities. Many places to eat and drink in the vicinity. Availability of water sports  on the beach . Can spend the entire day and good for walks also.,4, October 2019
3147154,"A lovely beach which is absolutely packed, loads of nearby places to eat and drink. Water sports available.",4, March 2020
3147156,"We didn't stay in Karon town, but we came to this beach 4 times over two weeks.  The sand and water here was the best on this coastline area south of Patong.  Very very clean.  The only better beaches we found we on islands off the coast - Similan being our favourite and then Khai islands beaches second.  Karon would be third - but the most convenient to get too.  Lots available here if you want it - jet skis, parasailing - lots of food just off the beach - plenty of little shops if you need to take a break from the beach for an hour.",5, March 2020
3147157,While the beach is nice and good to walk on especially early morning do be careful if you want to go into the sea. There is a rip tide which can sweep you out to sea. There are several warning about this on the beach and also telling you what to do if you get caught in one so do read the instructions before going into the sea.,3, March 2020
3147158,"We were on holiday with my family in Karon and frequently visited the beach. All sports of activities were available to soend the whole day there. Sunbeds also are available for 200bht for whole day. Eating is easy to arrange just across the road. Beach is clean and well maintained, not toi much disturbance - just relaxin.",4, February 2020
3147161,"Tranquil place. Clean, with umbrellas/ beds available at 200 bhat per day. Some massage food/drinks shacks. Rows of restaurants on the opposite side of the road and shops/small market too to get essentials",4, March 2020
3147162,"The beach in Karon is beautiful in many ways. Clean, tidy and very sandy. The beach is wide so there is plenty of room to lay out a couple of towels if you don't want to hire a sunbed and parasol. The sea is lovely and warm but has a very strong under-currant so beware going out too far. A distinct lack of any toilets of any kind but that seems to be the case on a lot of beaches outside of Europe or the USA. No facilities for washing sand off of your feet etc. A little investment in these facilities would make life a whole lot better for foreign visitors that maybe used to them being in place. The sunsets here are beautiful  don't forget your camera. Overall the beach is fabulous.The main street in Karon is a very vibrant place with lots of bars and eating places (I'll refrain from using the word restaurant) to choose from. Lots of (iced) seafood on display and you can have lots of different foods cooked right in front of you if that's your thing. A few choice smells lingered in the air but nobody seems to bother about them. There is a large market at the top of the road which sells almost every sort of cooked thing you can think of including scorpions and all manner of insects etc. Lots of souvenirs and cheap clothing on offer too. A big stage had been erected when we visited with a variety of Thai entertainment going on. Short trips back to hotels or nearby attractions are easy by taking a ride in a tuk-tuk (with loud disco sounds and lighting if you like). All in all a very entertaining town. If you fancy a busier time, a short trip into Patong will enlighten the senses. Some very nice big shopping malls there. While you're there, a walk along Bangla Road is a must.",4, February 2020
3147163,"Loved Karon beach, was lovely and clean and the water so warm and clear. Rented sun lounges for the day and hardly got hassled by anyone.",5, March 2020
3147164,"Stayed at the Phuket Orchid Spa and Resort.  Great resort, super friendly staff that go out of their way to help.",5, March 2020
3147165,"Nice beach busy lively loads going on, close to town no showers that i saw or toilets, sure they must go in the sea",5, February 2020
3147166,"I was very disappointed in how commercialised Karon Beach/Town was, not what I was expecting at all. Definately not like the photo above.",2, February 2020
3147167,While the beach is nice and good to walk on especially early morning do be careful if you want to go into the sea.   There is a rip tide which can sweep you out to sea.    There are several warning about this on the beach and also telling you what to do if you get caught in one so do read the instructions before going into the sea.,3, March 2020
3147169,"Nice beach to spend your time at. Many places to eat, water activities and volleyball nets. Water is transparent and ideal for swimming since it's so calm.There's also a nice small lake opposite the beach.",5, March 2020
3147175,"Very nice long and wide beach. Sand is powdery soft.  Water is very clear and clean. No rocks,gravel or shells. Lots of lounge chair and umbrellas to rent out  Sunsets are awesome!",5, February 2020
3147178,"One of the lesser crowded beach that is easily accessible. The beach is nice, quiet and good for family.",5, February 2020
3147179,Used to be a beach that was quieter than Patong but has grown a lot and is very busy nowadays and has lost a lot of its charm.,3, February 2020
